%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661321099693399629,35456,1661321099693399629,imu,-0.535669,-0.021619,-0.858811
1661321099698381361,35457,1661321099698381361,imu,-0.535403,-0.021086,-0.858409
1661321099703275094,35458,1661321099703275094,imu,-0.535434,-0.02034,-0.857953
1661321099708392806,35459,1661321099708392806,imu,-0.535301,-0.019827,-0.857666
1661321099713363015,35460,1661321099713363015,imu,-0.534978,-0.019512,-0.857952
1661321099718275605,35461,1661321099718275605,imu,-0.534703,-0.019242,-0.858482
1661321099727803403,35462,1661321099727803403,imu,-0.533984,-0.019204,-0.85902
1661321099728360242,35463,1661321099728360242,imu,-0.533918,-0.019358,-0.859993
1661321099733375708,35464,1661321099733375708,imu,-0.534108,-0.019859,-0.861031
1661321099738304221,35465,1661321099738304221,imu,-0.533599,-0.020607,-0.862037
1661321099743367876,35466,1661321099743367876,imu,-0.533974,-0.021463,-0.863015
1661321099748299603,35467,1661321099748299603,imu,-0.533983,-0.021516,-0.863904
1661321099754244577,35468,1661321099754244577,imu,-0.533986,-0.021314,-0.864624
1661321099758410780,35469,1661321099758410780,imu,-0.534408,-0.021057,-0.865566
1661321099775111980,35470,1661321099775111980,imu,-0.535003,-0.021756,-0.866488
1661321099775578655,35471,1661321099775578655,imu,-0.535301,-0.022472,-0.867331
1661321099775977584,35472,1661321099775977584,imu,-0.534982,-0.022427,-0.868042
1661321099778532355,35473,1661321099778532355,imu,-0.534635,-0.022413,-0.868409
1661321099783416170,35474,1661321099783416170,imu,-0.534381,-0.022389,-0.868567
1661321099788248164,35475,1661321099788248164,imu,-0.534158,-0.022147,-0.869067
1661321099793381450,35476,1661321099793381450,imu,-0.534707,-0.021856,-0.869508
1661321099798342370,35477,1661321099798342370,imu,-0.535594,-0.021578,-0.870115
1661321099803266973,35478,1661321099803266973,imu,-0.535908,-0.021182,-0.870221
1661321099813816889,35479,1661321099813816889,imu,-0.536307,-0.020774,-0.86947
1661321099814074531,35480,1661321099814074531,imu,-0.536671,-0.021105,-0.869417
1661321099818356181,35481,1661321099818356181,imu,-0.536455,-0.021722,-0.869038
1661321099823269748,35482,1661321099823269748,imu,-0.536401,-0.022555,-0.868326
1661321099828380057,35483,1661321099828380057,imu,-0.536704,-0.023045,-0.868052
1661321099833306755,35484,1661321099833306755,imu,-0.536742,-0.022667,-0.867822
1661321099838264462,35485,1661321099838264462,imu,-0.537179,-0.022546,-0.867361
1661321099843389856,35486,1661321099843389856,imu,-0.537455,-0.022463,-0.8668
1661321099851892674,35487,1661321099851892674,imu,-0.537545,-0.023145,-0.866134
1661321099853457593,35488,1661321099853457593,imu,-0.537882,-0.023387,-0.865754
1661321099858301459,35489,1661321099858301459,imu,-0.538142,-0.023311,-0.86543
1661321099863407368,35490,1661321099863407368,imu,-0.538114,-0.02298,-0.864963
1661321099868301520,35491,1661321099868301520,imu,-0.538,-0.022915,-0.864567
1661321099873219907,35492,1661321099873219907,imu,-0.537989,-0.023153,-0.864491
1661321099878589045,35493,1661321099878589045,imu,-0.537764,-0.023626,-0.864761
1661321099883334926,35494,1661321099883334926,imu,-0.537907,-0.023622,-0.864756
1661321099891526603,35495,1661321099891526603,imu,-0.538182,-0.02389,-0.865142
1661321099893552819,35496,1661321099893552819,imu,-0.538764,-0.023495,-0.865428
1661321099900698633,35497,1661321099900698633,imu,-0.538865,-0.023361,-0.865686
1661321099903410754,35498,1661321099903410754,imu,-0.538764,-0.022947,-0.865579
1661321099908239326,35499,1661321099908239326,imu,-0.539087,-0.022877,-0.866267
1661321099913357038,35500,1661321099913357038,imu,-0.539184,-0.022655,-0.866624
1661321099918279406,35501,1661321099918279406,imu,-0.539057,-0.022584,-0.866644
1661321099923246960,35502,1661321099923246960,imu,-0.539261,-0.022501,-0.8667
1661321099933899821,35503,1661321099933899821,imu,-0.53948,-0.023193,-0.866506
1661321099934695865,35504,1661321099934695865,imu,-0.539367,-0.022968,-0.866894
1661321099938326670,35505,1661321099938326670,imu,-0.539466,-0.022552,-0.867199
1661321099943369722,35506,1661321099943369722,imu,-0.539484,-0.022619,-0.867235
1661321099948305988,35507,1661321099948305988,imu,-0.539619,-0.022965,-0.867421
1661321099953283390,35508,1661321099953283390,imu,-0.539491,-0.022445,-0.867396
1661321099958240189,35509,1661321099958240189,imu,-0.539499,-0.022301,-0.867083
1661321099963359228,35510,1661321099963359228,imu,-0.53971,-0.022342,-0.866877
1661321099971568296,35511,1661321099971568296,imu,-0.539839,-0.022134,-0.866654
1661321099973369625,35512,1661321099973369625,imu,-0.53972,-0.02215,-0.866365
1661321099978425598,35513,1661321099978425598,imu,-0.539948,-0.022548,-0.866281
1661321099983317306,35514,1661321099983317306,imu,-0.540649,-0.022187,-0.866067
1661321099988280181,35515,1661321099988280181,imu,-0.540733,-0.021612,-0.865787
1661321099993220358,35516,1661321099993220358,imu,-0.540506,-0.021637,-0.865268
1661321099998324870,35517,1661321099998324870,imu,-0.540019,-0.021113,-0.865289
1661321100003295497,35518,1661321100003295497,imu,-0.540148,-0.021339,-0.865135
1661321100016602792,35519,1661321100016602792,imu,-0.540338,-0.021758,-0.865213
1661321100016964287,35520,1661321100016964287,imu,-0.540387,-0.021857,-0.865363
1661321100018419277,35521,1661321100018419277,imu,-0.541091,-0.021724,-0.865548
1661321100023315663,35522,1661321100023315663,imu,-0.540777,-0.020682,-0.865909
1661321100028453769,35523,1661321100028453769,imu,-0.540201,-0.020082,-0.866192
1661321100033328086,35524,1661321100033328086,imu,-0.54063,-0.020143,-0.866445
1661321100038427849,35525,1661321100038427849,imu,-0.541532,-0.019908,-0.866307
1661321100043255862,35526,1661321100043255862,imu,-0.542447,-0.019822,-0.866614
1661321100048356812,35527,1661321100048356812,imu,-0.542042,-0.019927,-0.866526
1661321100056326955,35528,1661321100056326955,imu,-0.541561,-0.019935,-0.866392
1661321100058294994,35529,1661321100058294994,imu,-0.541756,-0.019661,-0.866501
1661321100063363469,35530,1661321100063363469,imu,-0.541365,-0.019261,-0.866761
